dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta
dataset_name,RF,LCB,0,286.60726499557495,0.00792607642655927,0.008086527754968187,0.0002961996380027113,2.43075056778473,3.4288758752376007
dataset_name,RF,LCB,1,294.35523414611816,0.007474638049774062,0.007450530630274843,0.0003262150491872734,2.964630246506867,1.919865564777205
dataset_name,RF,LCB,2,295.84802055358887,0.009070833270535828,0.008810418232899976,0.000418529678784389,4.277869229270085,4.395103851870368
dataset_name,RF,LCB,3,306.0494108200073,0.008473579603069954,0.008519627960241947,0.000261789270427016,4.124810985717318,4.059225947208436
dataset_name,RF,LCB,4,288.4965326786041,0.008567294306331382,0.008483935991003621,0.00025807239043423955,3.0907360552309604,4.235820790816015
dataset_name,RF,LCB,5,280.0257625579834,0.007731674230576297,0.007777981714369814,0.00022710481693817566,2.0493847193483052,2.8438873930102573
dataset_name,RF,LCB,6,250.25856637954712,0.008841085540617452,0.00881876709914994,7.969639976752681e-05,1.605611750925235,4.765354425959928
dataset_name,RF,LCB,7,260.37097001075745,0.008664194720915425,0.008697433746106039,0.00014366431661670909,4.974263627708387,4.220795195854846
dataset_name,RF,LCB,8,260.28278517723083,0.008447215329987965,0.008482992867342129,0.00022622060615996262,1.00607454018471,4.628678366719888
dataset_name,RF,LCB,9,245.03463673591614,0.008993218767255378,0.009212765056751209,0.0004214358070802735,2.924253590142485,4.956006372584752
dataset_name,RF,LCB,10,257.46464371681213,0.008549421085478001,0.008556987241566354,0.0005714930432010739,2.7526544438525957,4.3239373508479355
dataset_name,RF,LCB,11,247.2215859889984,0.008646434802033172,0.008580716510531102,0.00014737480838244839,2.933268056226049,4.158205396362378
dataset_name,RF,LCB,12,249.9438009262085,0.00825136378464843,0.008386293301933984,0.00032836012365838104,2.881543066950051,4.168958098100965
dataset_name,RF,LCB,13,260.37096190452576,0.00852253096009595,0.008547562741241226,0.00034226276177635713,2.1851669109696297,4.495385106715999
dataset_name,RF,LCB,14,260.59305572509766,0.008446861054238315,0.008376787506797536,0.0003419625284138454,3.0553847233259055,4.192792017811993
dataset_name,RF,LCB,15,261.84965443611145,0.008915288534828689,0.008864075752637863,0.00019907199643894293,4.79555757757405,4.862360867156638
dataset_name,RF,LCB,16,255.91836380958557,0.009231104785551081,0.009253617846628197,9.354115091062108e-05,4.38393917610078,4.9725466249069346
dataset_name,RF,LCB,17,251.7517282962799,0.008388694466502783,0.00842674352199545,0.0001703242792122357,4.447682993825952,4.151231120447618
dataset_name,RF,LCB,18,247.67222499847412,0.008911518393698454,0.008861387542015223,0.0002519087168995263,2.161053382346253,4.766798066531672
dataset_name,RF,LCB,19,250.25418162345886,0.009160469012187424,0.009166971358906383,0.00015263564806975208,2.8089585174607774,4.751106499706686
dataset_name,RF,LCB,20,262.2130525112152,0.008531558374161028,0.00859159122422822,0.0004131477423390794,2.515182773010794,4.691551743193552
dataset_name,RF,LCB,21,250.98430728912354,0.008750486632882064,0.008886217894752,0.000310625974679951,2.7983267084000634,4.722439248425252
dataset_name,RF,LCB,22,248.09876370429993,0.00881210809100997,0.008608066295780448,0.00043527890513132535,4.58213080057554,4.73981846284586
dataset_name,RF,LCB,23,247.6716275215149,0.009015184614174212,0.008879290551377806,0.0003988199998533051,2.859612996452657,4.8409721235906815
dataset_name,RF,LCB,24,338.964524269104,-0.2802637314409659,-0.27635761140725623,0.01983745843599619,0.24568111258154074,4.98291199217087
dataset_name,RF,LCB,25,269.6133909225464,0.008980377054793771,0.008870486866324951,0.00022817785690461764,1.428839341520154,4.994419620381071
dataset_name,RF,LCB,26,266.7849645614624,0.00801750605632463,0.008023432622935808,0.00039040116764321747,0.4745225871618269,4.986269900854582
dataset_name,RF,LCB,27,304.807674407959,0.003879000422626096,0.00027058268096747523,0.009442591029022854,0.3922244986840959,4.986898588416371
dataset_name,RF,LCB,28,350.1951503753662,-0.28845370519422386,-0.2821674680785633,0.019807838493318335,0.2344288193483444,4.989861410582211
dataset_name,RF,LCB,29,310.8474671840668,0.008344843442029284,0.008383364221177894,0.0005204430776050562,0.5193149042363642,4.852272584504588
